Number,Date,Tortilla,Cheese,Bean,Green,Sauce,Meat,Veggie,Restaurant,Seasoning,method,Other
89,30-Mar,,,,,,,,,,,
90,31-Mar,raw,colby jack,,,,tuna,watermelon radish/tomato,,,,
91,1-Apr,raw,fiesta,navy,dandelion,verde,,,,,,macaroni
92,2-Apr,,,,,,,,,,,
93,3-Apr,Mission,fiesta,black,,mango habanero,,,,,,
94,4-Apr,Mission,fiesta,lentils,,mango habanero,,asparagus/onion/tomato,,,,
95,5-Apr,corn,fiesta,,,,,,,,,
96,6-Apr,raw,fiesta,black,,pasta,,,,,,
97,7-Apr,Mission,fiesta,black,,,egg,bell pepper/tomato/zucchini/onion/potato,,garlic/chile lime,,
98,8-Apr,Don Julio,fiesta,,,verde,,zucchini/bell pepper,,,,
99,9-Apr,Don Julio,fiesta,,,verde,egg,bell pepper/tomato/zucchini/onion/potato,,,,
100,10-Apr,jalapeno raw,colby jack,,mustard,verde,,tomato/onion,,,,
101,11-Apr,jalapeno raw,fiesta,,,,,,,,,
102,12-Apr,jalapeno raw,colby jack,,mustard,red guasacaca/mango habanero,egg,bell pepper/tomato/zucchini/onion/potato,,,,
103,13-Apr,jalapeno raw,colby jack,,,red guasacaca,chicken,bell pepper/potato,,,,
104,14-Apr,jalapeno raw,fiesta,navy,mustard,,chicken,avocado/tomato/onion,,,,
105,15-Apr,jalapeno raw,some,black,mustard,mango habanero,,sweet potato/zucchini,,garlic,,
106,16-Apr,jalapeno raw,colby jack,black,mustard,verde,chicken,tomato/corn,,chile lime,,
107,17-Apr,jalapeno raw,colby jack,black,,verde/mango habanero,,bell pepper/corn/avocado,,,,
108,18-Apr,jalapeno raw/Mission raw,Cache medium,black/navy,,tapatio,,bell pepper/corn/avocado,,garlic/chile lime,,
109,19-Apr,Mission raw,Cache medium,navy,mustard,verde,,avocado,,,,
